Model,Accuracy,ROC AUC,Precision (No),Precision (Yes),Recall (No),Recall (Yes),F1 Score (Macro Average)
XGBoost (Tuned Model),0.98,0.9943639291465377,1.0,0.9583333333333334,0.9629629629629629,1.0,0.9799277398635087
Random Forest (Tuned Model),0.97,0.9943639291465378,1.0,0.9387755102040817,0.9444444444444444,1.0,0.9699248120300752
Random Forest (Base Model),0.96,0.9923510466988728,0.9807692307692307,0.9375,0.9444444444444444,0.9782608695652174,0.9598554797270173
XGBoost (Base Model),0.95,0.9903381642512077,0.9803921568627451,0.9183673469387755,0.9259259259259259,0.9782608695652174,0.949874686716792
Logistic Regression,0.92,0.9681964573268921,1.0,0.8518518518518519,0.8518518518518519,1.0,0.92
Support Vector Machine (Base Model),0.92,0.9649758454106281,1.0,0.8518518518518519,0.8518518518518519,1.0,0.92
Support Vector Machine (Tuned Model),0.92,0.9649758454106281,1.0,0.8518518518518519,0.8518518518518519,1.0,0.92
Decision Tree (Tuned Model),0.9,0.9726247987117553,0.9583333333333334,0.8461538461538461,0.8518518518518519,0.9565217391304348,0.8999599839935974
Decision Tree (Base Model),0.88,0.9476650563607085,0.92,0.84,0.8518518518518519,0.9130434782608695,0.8798076923076923
Neural Network,0.82,0.9210950080515299,0.8333333333333334,0.8043478260869565,0.8333333333333334,0.8043478260869565,0.818840579710145
