Model,TP Avg Feasibility %,FP Avg Feasibility %,TN Avg Feasibility %,FN Avg Feasibility %,TP Count,FP Count,TN Count,FN Count
Decision Tree (Base Model),94.83595238095239,79.10749999999999,0.8695652173913043,25.4175,42,8,46,4
XGBoost (Tuned Model),94.54934782608697,83.615,4.253653846153846,,46,2,52,0
Decision Tree (Tuned Model),91.4884090909091,71.65875,0.9365217391304348,32.375,44,8,46,2
Logistic Regression,82.22391304347825,70.11625000000001,12.023913043478263,,46,8,46,0
XGBoost (Base Model),80.31955555555557,63.4875,19.8028,33.55,45,4,50,1
Support Vector Machine (Base Model),80.14891304347826,67.58500000000001,9.928260869565218,,46,8,46,0
Support Vector Machine (Tuned Model),80.14891304347826,67.58500000000001,9.928260869565218,,46,8,46,0
Random Forest (Tuned Model),80.01934782608696,64.23,18.414705882352944,,46,3,51,0
Random Forest (Base Model),78.75822222222222,62.45666666666667,21.137450980392156,49.65,45,3,51,1
Neural Network,58.10594594594595,53.12111111111111,37.75600000000001,46.853333333333325,37,9,45,9
