Time Taken (mins),Complexity (1-5),Frequency,Tool Used,Department,Error Rate (%),Rule-Based Indicator,Process Stability,Data Structure,Actual,Predicted,Feasibility %,Model
0.3802948537140842,2,Quarterly,Trello,Customer Service,-1.058713767172603,Yes,Medium,Semi-Structured,Yes,Yes,86.53,Random Forest (Base Model)
-0.6528246552047396,2,Ad-Hoc,Slack,Procurement,-1.529067547830042,Yes,Low,Unstructured,No,No,39.33,Random Forest (Base Model)
0.8968546081734962,4,Monthly,Jira,Human Resource,-0.552178926464593,No,Medium,Semi-Structured,Yes,Yes,72.73,Random Forest (Base Model)
-1.418758084230764,3,Quarterly,SAP,Compliance,-0.552178926464593,Yes,Low,Unstructured,No,No,21.03,Random Forest (Base Model)
-0.2431393327024474,2,Ad-Hoc,Google Sheets,IT,0.4608907549514277,No,Medium,Structured,No,No,15.98,Random Forest (Base Model)
1.235290309371042,5,Weekly,Slack,Sales,0.0006079910090972479,No,Low,Unstructured,Yes,Yes,59.76,Random Forest (Base Model)
0.6474809336068835,1,Monthly,Custom Portal,Compliance,0.6417960552042885,Yes,Medium,Semi-Structured,No,No,19.74,Random Forest (Base Model)
0.5406065016497638,5,Ad-Hoc,Excel,IT,-0.1903683259588713,No,Medium,Structured,No,No,36.33,Random Forest (Base Model)
-1.507820110861697,2,Weekly,Google Sheets,IT,-0.2627304460600157,Yes,High,Structured,Yes,Yes,85.02,Random Forest (Base Model)
0.3268576377355243,1,Quarterly,Jira,Admin,-1.203438007374892,Yes,Medium,Semi-Structured,Yes,Yes,87.06,Random Forest (Base Model)
1.217477904044855,3,Weekly,SharePoint,Compliance,-1.275800127476036,Yes,Medium,Semi-Structured,Yes,Yes,72.57,Random Forest (Base Model)
0.7365429602378166,1,Monthly,Zoom,Sales,-0.2265493860094436,Yes,Low,Unstructured,No,No,8.21,Random Forest (Base Model)
-0.403450980638127,4,Daily,Custom Portal,Compliance,-0.2627304460600157,No,Medium,Semi-Structured,No,No,22.52,Random Forest (Base Model)
1.306539930675788,1,Monthly,Trello,Marketing,-0.2265493860094436,Yes,Medium,Semi-Structured,Yes,Yes,68.57,Random Forest (Base Model)
-0.54595022324762,4,Monthly,Outlook,Customer Service,-1.746153908133474,No,High,Structured,Yes,Yes,79.7,Random Forest (Base Model)
-0.02939046878820802,5,Weekly,Zoom,Sales,0.7141581753054329,No,Low,Unstructured,No,No,13.19,Random Forest (Base Model)
-1.436570489556951,2,Weekly,Google Sheets,Admin,0.750339235356005,Yes,High,Structured,No,No,32.32,Random Forest (Base Model)
0.9859166348044293,2,Monthly,Google Sheets,Marketing,0.5694339351031441,No,High,Structured,No,No,25.54,Random Forest (Base Model)
-0.3856385753119404,4,Ad-Hoc,SharePoint,Admin,1.618684676569737,No,Low,Semi-Structured,No,No,13.56,Random Forest (Base Model)
0.2912328270831511,2,Ad-Hoc,Outlook,Sales,1.148330895912299,No,Medium,Structured,No,No,9.41,Random Forest (Base Model)
-0.1540773060715143,4,Quarterly,Outlook,Admin,0.5332528750525721,No,High,Structured,No,No,24.04,Random Forest (Base Model)
-0.5993874392261799,5,Ad-Hoc,Jira,Human Resource,1.510141496418021,No,Low,Semi-Structured,No,No,25.63,Random Forest (Base Model)
-0.4747006019428735,4,Quarterly,Excel,Sales,-0.009463025706010434,No,High,Structured,Yes,Yes,86.47,Random Forest (Base Model)
-0.54595022324762,4,Monthly,Excel,Customer Service,-0.4074546862623045,No,High,Structured,Yes,Yes,82.93,Random Forest (Base Model)
-1.258446436295085,4,Monthly,Excel,Customer Service,1.65486573662031,No,High,Structured,No,No,24.1,Random Forest (Base Model)
-0.4925130072690601,5,Quarterly,Power BI,Customer Service,1.365417256215732,No,High,Structured,Yes,No,49.65,Random Forest (Base Model)
-0.4568881966166869,2,Weekly,SAP,Procurement,-1.384343307627753,Yes,Low,Unstructured,No,No,17.96,Random Forest (Base Model)
1.288727525349602,1,Daily,Outlook,Customer Service,1.148330895912299,No,High,Structured,No,No,19.25,Random Forest (Base Model)
0.2199832057784046,4,Weekly,Power BI,Human Resource,-0.8778084669197427,No,High,Structured,Yes,Yes,86.75,Random Forest (Base Model)
-1.294071246947458,4,Monthly,Google Sheets,Procurement,-1.746153908133474,No,High,Structured,Yes,Yes,79.33,Random Forest (Base Model)
1.395601957306722,5,Daily,SharePoint,Finance,-0.1903683259588713,No,Medium,Semi-Structured,No,No,49.51,Random Forest (Base Model)
-1.454382894883137,5,Weekly,Google Sheets,Marketing,-0.6607221066163096,No,High,Structured,Yes,Yes,86.28,Random Forest (Base Model)
-1.115947193685592,4,Daily,Custom Portal,Compliance,1.256874076064015,No,Medium,Semi-Structured,No,No,16.27,Random Forest (Base Model)
0.1131087738212849,5,Quarterly,Microsoft Teams,Operations,1.365417256215732,No,High,Structured,No,No,23.71,Random Forest (Base Model)
1.324352336001975,2,Weekly,Custom Portal,Customer Service,0.8227013554571494,No,Medium,Semi-Structured,No,No,10.79,Random Forest (Base Model)
-0.08282768476676788,3,Weekly,SAP,Procurement,-0.4074546862623045,Yes,Low,Unstructured,No,No,17.57,Random Forest (Base Model)
0.04185915251653845,2,Ad-Hoc,Jira,IT,1.582503616519165,No,Low,Semi-Structured,No,No,20.59,Random Forest (Base Model)
-0.9556355457499122,2,Weekly,Microsoft Teams,Customer Service,-1.348162247577181,Yes,High,Structured,Yes,Yes,90.11,Random Forest (Base Model)
-1.133759599011778,3,Monthly,Excel,Operations,0.8950634755582938,Yes,High,Structured,No,No,29.11,Random Forest (Base Model)
-0.08282768476676788,4,Monthly,Microsoft Teams,Human Resource,-0.552178926464593,No,High,Structured,Yes,Yes,84.62,Random Forest (Base Model)
-0.5637626285738065,4,Quarterly,Slack,Compliance,0.7141581753054329,No,Low,Unstructured,Yes,Yes,57.57,Random Forest (Base Model)
0.576231312302137,5,Monthly,Excel,Sales,-1.673791788032331,No,High,Structured,Yes,Yes,80.42,Random Forest (Base Model)
-1.276258841621271,1,Weekly,Jira,Procurement,0.750339235356005,Yes,Medium,Semi-Structured,No,Yes,62.52,Random Forest (Base Model)
-0.6706370605309263,1,Weekly,SharePoint,Compliance,-1.131075887273748,Yes,Medium,Semi-Structured,Yes,Yes,82.73,Random Forest (Base Model)
-1.009072761728472,4,Daily,SharePoint,Procurement,1.546322556468593,No,Medium,Semi-Structured,No,No,31.83,Random Forest (Base Model)
1.253102714697228,5,Weekly,Zoom,Procurement,-0.3712736262117322,No,Low,Unstructured,No,No,14.45,Random Forest (Base Model)
0.4337320696926441,4,Daily,SharePoint,Admin,1.039787715760582,No,Medium,Semi-Structured,No,No,30.84,Random Forest (Base Model)
-0.08282768476676788,4,Monthly,Google Sheets,Admin,1.401598316266304,No,High,Structured,No,No,25.82,Random Forest (Base Model)
-0.7596990871618594,5,Daily,Google Sheets,IT,-0.9139895269703147,No,High,Structured,Yes,Yes,83.2,Random Forest (Base Model)
-0.171889711397701,5,Ad-Hoc,Custom Portal,Admin,-0.7692652867680261,No,Low,Semi-Structured,No,No,6.93,Random Forest (Base Model)
-0.688449465857113,2,Daily,Zoom,Procurement,-1.818516028234619,Yes,Low,Unstructured,No,No,15.12,Random Forest (Base Model)
0.006234341864165215,2,Ad-Hoc,Slack,Operations,1.293055136114588,No,Low,Unstructured,No,No,31.9,Random Forest (Base Model)
-1.098134788359405,2,Weekly,SharePoint,Admin,1.00360665571001,Yes,Medium,Semi-Structured,No,No,38.92,Random Forest (Base Model)
0.2912328270831511,1,Weekly,Microsoft Teams,Finance,0.2438043946479948,Yes,High,Structured,Yes,Yes,85.89,Random Forest (Base Model)
-0.6528246552047396,1,Daily,Jira,Human Resource,0.09908015444570602,Yes,Medium,Semi-Structured,Yes,Yes,86.68,Random Forest (Base Model)
0.202170800452218,1,Ad-Hoc,Power BI,Customer Service,-0.4798168063634488,Yes,Medium,Structured,No,Yes,63.44,Random Forest (Base Model)
1.253102714697228,1,Quarterly,SharePoint,Finance,1.727227856721454,No,Medium,Semi-Structured,No,No,29.24,Random Forest (Base Model)
0.8256049868687497,4,Weekly,SharePoint,Sales,-0.9139895269703147,No,Medium,Semi-Structured,Yes,Yes,71.6,Random Forest (Base Model)
-1.276258841621271,2,Weekly,Zoom,Compliance,1.293055136114588,No,Low,Unstructured,No,No,17.31,Random Forest (Base Model)
-1.044697572380845,3,Quarterly,Trello,Marketing,0.5332528750525721,Yes,Medium,Semi-Structured,Yes,Yes,56.52,Random Forest (Base Model)
0.7899801762163764,4,Weekly,Jira,Finance,-0.1903683259588713,No,Medium,Semi-Structured,Yes,Yes,79.05,Random Forest (Base Model)
1.110603472087736,3,Monthly,Custom Portal,Admin,1.148330895912299,No,Medium,Semi-Structured,No,No,10.79,Random Forest (Base Model)
1.449039173285281,1,Ad-Hoc,SAP,Finance,1.365417256215732,No,Low,Unstructured,No,No,8.8,Random Forest (Base Model)
0.202170800452218,3,Monthly,SAP,Marketing,0.9312445356088659,Yes,Low,Unstructured,No,No,9.5,Random Forest (Base Model)
-0.6171998445523664,3,Quarterly,Outlook,Finance,-0.9139895269703147,Yes,High,Structured,Yes,Yes,92.33,Random Forest (Base Model)
-0.8665735191189791,2,Daily,Excel,Marketing,-0.1541872659082992,Yes,High,Structured,Yes,Yes,92.7,Random Forest (Base Model)
-0.5281378179214333,4,Monthly,SAP,Marketing,1.437779376316876,No,Low,Unstructured,No,No,15.35,Random Forest (Base Model)
-0.5815750338999932,2,Monthly,Google Sheets,Customer Service,-1.348162247577181,Yes,Medium,Structured,Yes,Yes,78.4,Random Forest (Base Model)
-1.044697572380845,4,Weekly,Power BI,Marketing,1.293055136114588,No,High,Structured,Yes,Yes,55.19,Random Forest (Base Model)
0.02404674719035184,3,Weekly,Excel,IT,-1.094894827223176,Yes,High,Structured,Yes,Yes,86.26,Random Forest (Base Model)
1.395601957306722,1,Daily,Zoom,Operations,0.3523475747997112,Yes,Low,Unstructured,No,No,10.34,Random Forest (Base Model)
1.270915120023415,3,Monthly,Power BI,Admin,-1.529067547830042,Yes,High,Structured,Yes,Yes,80.76,Random Forest (Base Model)
-0.9021983297713524,3,Monthly,SharePoint,IT,-0.1541872659082992,Yes,Medium,Semi-Structured,Yes,Yes,83.0,Random Forest (Base Model)
-0.9021983297713524,5,Monthly,Microsoft Teams,Sales,-1.782334968184047,No,High,Structured,Yes,Yes,80.96,Random Forest (Base Model)
-0.6350122498785531,5,Daily,SAP,Customer Service,0.02671803434456161,No,Low,Unstructured,No,No,22.44,Random Forest (Base Model)
-0.4925130072690601,1,Monthly,Slack,Marketing,-0.08182514580715483,Yes,Low,Unstructured,Yes,Yes,56.38,Random Forest (Base Model)
-0.4568881966166869,3,Monthly,Zoom,Sales,0.5332528750525721,Yes,Low,Unstructured,No,No,11.3,Random Forest (Base Model)
0.3624824483878976,4,Quarterly,Zoom,Compliance,1.184511955962871,No,Low,Unstructured,No,No,16.66,Random Forest (Base Model)
1.003729040130616,5,Quarterly,Custom Portal,Marketing,-0.3712736262117322,No,Medium,Semi-Structured,No,No,21.93,Random Forest (Base Model)
1.253102714697228,2,Daily,Trello,IT,0.0006079910090972479,No,Medium,Semi-Structured,No,Yes,61.41,Random Forest (Base Model)
-0.8131363031404193,5,Monthly,Microsoft Teams,Marketing,0.6417960552042885,No,High,Structured,No,No,25.33,Random Forest (Base Model)
-1.596882137492631,2,Quarterly,Excel,Finance,-1.637610727981758,Yes,High,Structured,Yes,Yes,88.19,Random Forest (Base Model)
0.950291824152056,1,Monthly,SAP,Marketing,1.039787715760582,No,Low,Unstructured,No,No,10.37,Random Forest (Base Model)
-1.383133273578391,1,Daily,Jira,Compliance,-1.746153908133474,Yes,Medium,Semi-Structured,Yes,Yes,80.85,Random Forest (Base Model)
-0.4390757912905003,2,Quarterly,Trello,Sales,-0.8054463468185983,Yes,Medium,Semi-Structured,Yes,Yes,89.25,Random Forest (Base Model)
-0.3143889540071939,3,Daily,SharePoint,Operations,-1.456705427728897,Yes,Medium,Structured,Yes,Yes,78.85,Random Forest (Base Model)
-0.3500137646595672,2,Monthly,Custom Portal,Customer Service,-1.420524367678325,Yes,Medium,Semi-Structured,No,No,25.83,Random Forest (Base Model)
1.003729040130616,3,Weekly,Google Sheets,Procurement,-1.203438007374892,Yes,High,Structured,Yes,Yes,81.08,Random Forest (Base Model)
-0.6350122498785531,3,Quarterly,Jira,Admin,0.8227013554571494,Yes,Medium,Semi-Structured,Yes,Yes,62.88,Random Forest (Base Model)
-1.044697572380845,1,Ad-Hoc,Outlook,Marketing,0.5332528750525721,Yes,Medium,Structured,No,No,37.36,Random Forest (Base Model)
1.359977146654348,2,Weekly,Zoom,Compliance,-0.8054463468185983,Yes,Low,Unstructured,No,No,11.05,Random Forest (Base Model)
